SUM of play_count,rank,,,,,,,,,
artist,1,2,3,4,5,6,7,8,9,10
? & The Mysterians,"180,595,920","4,797,078","1,656,504","3,172,074","4,081,650","1,489,854","2,255,586","2,126,382","1,777,266","728,454"
4 Non Blondes,"5,699,753,592","203,227,002","92,442,870","39,357,894","33,829,206","19,326,318","17,035,962","20,537,280","15,506,466","7,056,882"
Andrea True Connection,"86,417,874","13,563,498","39,730,164","10,414,662","6,746,676","1,185,192","3,212,070","672,894","3,202,518","601,008"
Aqua,"3,215,357,394","2,886,576,960","198,215,166","591,270,924","247,400,214","241,283,820","176,300,304","153,408,654","173,314,338","155,742,078"
Artist Of The Year,"6,241,734","273,300","310,770","157,500","88,626","91,482","64,542","66,216","61,182","60,378"
Baha Men,"898,565,910","58,335,036","23,736,618","15,560,586","13,585,338","7,139,898","2,043,690","4,246,914","4,474,476","2,452,542"
Big Country,"262,152,552","75,396,072","56,929,956","47,122,032","31,061,310","11,586,612","8,003,076","8,252,928","6,613,698","7,707,306"
Billy Paul,"989,159,412","450,014,412","55,643,754","48,445,002","26,059,500","28,237,992","3,644,532","11,752,830","14,956,266","5,513,796"
Billy Ray Cyrus,"9,215,183,088","931,298,664","772,032,330","708,816,348","58,861,944","424,873,188","62,531,946","51,707,094","90,375,612","88,227,318"
Biz Markie,"921,283,266","48,041,730","16,796,430","22,175,214","7,164,702","2,300,682","9,938,022","4,555,716","4,558,782","3,532,200"
Blind Melon,"982,133,156","155,787,498","41,612,552","54,466,014","44,354,944","16,795,456","21,904,392","13,874,036","17,838,644","9,575,922"
Bobby McFerrin,"2,363,057,904","9,441,738","17,675,064","12,280,848","7,825,632","5,688,486","8,544,258","9,991,176","5,937,690","4,074,900"
Bow Wow,"953,357,910","645,675,282","809,098,398","318,198,966","334,935,906","129,334,452","155,957,040","142,174,350","86,184,234","86,510,154"
Brownsville Station,"52,718,460","2,228,676","3,425,634","1,149,558","1,390,014","517,344","562,392","1,108,566","709,440","311,844"
Buster Poindexter And His Banshees Of Blue,"81,466,536","20,729,112","693,516","780,690","86,478","51,966","15,258",,,
C.W. McCall,"341,249,520","42,297,546","28,078,836","21,501,372","10,091,634","8,783,970","10,110,540","7,219,548","6,614,898","4,765,782"
Carl Douglas,"477,920,020","1,897,734","2,179,048","112,926","1,017,648","260,698","847,444","651,974","246,516","545,004"
Charlene,"256,750,470","6,126,690","20,452,974","589,950","2,325,468","693,750","285,702","1,202,070","251,172","240,954"
Cheryl Lynn,"684,982,308","280,774,230","104,329,608","46,043,460","36,723,450","17,491,956","6,499,770","10,303,980","2,838,012","5,598,702"
Crash Test Dummies,"1,266,026,898","72,622,848","71,663,154","34,910,010","38,731,362","24,409,866","18,743,340","12,958,518","11,541,888","9,058,902"
David Naughton,"14,905,668","336,390","35,190","13,128","17,418","12,102",,,,
David Soul,"386,644,062","34,530,312","3,068,118","2,203,284","1,301,946","863,832","543,954","786,642","565,626","719,124"
Debby Boone,"231,677,220","3,736,044","5,035,416","3,566,040","3,052,920","1,441,368","1,588,116","2,202,756","667,326","642,354"
Deee-Lite,"1,277,471,586","24,083,958","15,848,334","13,871,082","15,216,228","10,302,684","10,886,250","9,046,506","5,045,250","8,585,694"
Dexys Midnight Runners,"3,841,152,852","1,111,274,652","142,461,486","166,762,512","42,925,830","24,647,508","12,689,130","12,133,896","9,082,134","6,509,616"
Digable Planets,"360,907,145","203,878,945","45,972,995","56,169,055","75,313,450","18,985,520","21,864,315","38,199,800","22,339,565","13,452,665"
Divinyls,"545,215,014","114,910,110","81,897,576","15,921,366","11,553,582","10,808,238","6,124,914","8,926,380","6,087,060","4,639,692"
Eddy Grant,"142,942,416","210,148,704","16,617,708","22,368,504","8,746,374","678,486","359,922","282,768","4,740,486","173,544"
Edie Brickell & New Bohemians,"249,946,206","87,190,728","10,594,500","20,529,810","14,370,990","11,604,324","9,070,836","5,860,638","8,876,004","2,852,976"
Edwyn Collins,"696,576,216","6,687,714","3,393,336","5,997,156","1,704,102","1,413,624","1,623,792","658,392","547,212","1,022,754"
Faith No More,"1,310,558,868","1,119,793,974","418,563,348","171,949,788","224,344,998","145,072,332","185,433,042","106,443,948","85,493,196","67,229,400"
Falco,"833,881,224","513,473,718","412,028,784","428,732,190","250,363,668","134,980,938","85,017,348","55,104,018","41,041,320","43,856,058"
Fountains Of Wayne,"942,383,288","54,294,010","20,282,960","17,628,582","10,420,100","11,181,516","11,575,240","6,741,952","2,679,308","4,194,924"
Frankie Goes To Hollywood,"1,732,082,718","767,207,676","205,852,338","70,853,988","43,947,462","22,349,064","20,757,060","30,860,142","9,740,244","12,147,114"
Gary Glitter,"657,104,868","84,604,056","59,359,788","18,063,216","20,798,202","20,450,382","30,689,706","8,518,602","8,874,528","7,669,074"
Gary Numan,"611,829,756","229,250,670","107,177,526","38,244,288","44,540,400","30,874,668","30,034,602","15,742,998","20,096,694","29,551,572"
Gerardo Ortiz,"449,607,978","403,019,928","986,203,974","251,651,004","908,985,936","363,141,924","272,682,792","1,284,515,274","315,626,208","785,270,538"
Haddaway,"4,822,460,328","216,592,842","160,354,038","135,493,554","7,515,534","67,541,988","54,766,392","82,302,840","85,746,966","11,739,534"
House Of Pain,"3,298,905,252","99,414,558","72,912,024","76,159,416","48,326,856","45,261,414","43,208,976","24,597,978","32,542,914","43,385,220"
Iron Butterfly,"209,565,768","94,462,284","17,131,770","12,340,944","7,871,304","7,830,924","7,334,928","3,795,900","6,291,588","6,080,652"
Jane Child,"103,605,888","1,100,952","1,216,296","519,702","385,494","194,028","332,538","306,138","366,210","219,882"
Jeannie C. Riley,"208,291,194","3,173,370","1,296,384","1,356,930","1,482,468","985,512","590,424","1,007,022","1,097,052","2,811,912"
Jermaine Stewart,"222,266,442","129,510,756","7,354,560","3,239,412","1,592,298","1,402,140","396,972","376,398","580,728","646,398"
K-Ci & JoJo,"1,676,483,592","1,158,410,964","309,497,634","206,410,560","216,690,972","50,781,210","37,288,404","37,414,932","73,686,132","20,899,038"
Kajagoogoo,"417,091,380","12,150,246","7,361,862","9,359,184","6,806,550","6,361,188","3,574,824","3,564,936","2,763,174","2,747,430"
Lejwe La Motheo Artist Development,"741,336","1,208,406","306,090","1,168,806","361,944","266,106","243,204","240,450","232,458","439,734"
Lipps Inc.,"2,345,151,354","347,822,184","131,512,278","80,130,816","11,104,122","5,810,922","3,109,290","1,502,700","1,472,970","2,521,710"
Los Pescadores Del Rio Conchos,"457,289,862","207,651,480","25,971,582","74,112,600","2,962,908","99,307,050","5,723,016","43,247,712","2,431,524","991,608"
Lou Bega,"3,945,125,568","90,028,296","89,934,648","27,187,032","49,767,120","12,980,040","11,652,432","13,399,728","10,287,492","5,272,260"
Mary Jane Girls,"251,326,626","73,975,452","91,069,410","68,520,006","51,556,872","4,900,800","1,922,334","3,081,840","2,074,332","1,036,476"
Men Without Hats,"1,111,219,896","349,176,312","35,416,566","104,098,560","33,908,082","10,478,976","8,624,160","4,711,320","5,183,358","8,562,798"
Meredith Brooks,"1,344,163,662","11,406,738","4,055,148","2,066,574","2,632,350","1,977,480","1,617,564","1,462,914","1,155,612","1,127,568"
Michael Sembello,"3,437,263,902","146,144,634","103,452,000","2,810,274","2,004,384","2,987,040","6,561,378","1,048,026","477,576","1,020,576"
Minnie Riperton,"324,014,220","300,992,052","158,447,994","153,594,306","231,193,176","43,677,906","41,950,860","37,709,622","14,238,348","9,052,794"
Modern English,"424,154,082","292,233,000","185,916,432","10,664,214","4,752,648","4,705,740","2,392,152","2,392,302","1,134,534","8,263,032"
Musical Youth,"1,421,830,494","57,972,030","16,118,268","2,308,692","11,617,464","7,247,160","5,079,990","12,671,634","3,633,678","2,433,456"
Nena,"2,731,300,374","254,049,222","311,110,950","481,219,518","146,322,252","114,713,814","52,408,854","94,304,238","29,710,350","25,734,234"
New Radicals,"2,844,548,574","243,215,514","97,814,946","23,409,564","18,488,904","14,969,232","13,055,892","10,782,912","9,904,890","10,653,384"
Nick Gilder,"139,858,968","2,270,412","471,504","348,078","156,060","145,632","86,922","79,386","62,442","70,950"
Norman Greenbaum,"3,084,171,150","2,933,136","2,175,318","3,678,864","1,474,092","2,039,706","716,268","905,088","1,303,650","951,168"
Quiet Riot,"2,292,226,176","506,132,136","135,579,102","60,461,880","38,793,348","25,917,336","37,628,574","59,834,796","16,893,996","16,848,762"
RAC,"662,619,456","320,717,688","135,843,588","174,167,874","188,281,404","81,771,666","226,976,772","33,352,284","25,862,154","129,400,872"
Ratt,"866,047,446","325,119,240","205,012,110","47,196,888","81,681,234","67,784,190","80,548,746","35,667,546","43,276,542","42,828,576"
Right Said Fred,"703,293,276","158,592,786","76,971,870","1,929,558","68,706,768","29,207,922","7,511,052","4,562,946","2,873,628","206,976"
Rob Base & DJ EZ Rock,"549,112,458","60,306,834","5,257,512","3,778,146","1,918,638","658,680","1,202,076","454,704","96,372","894,714"
Rockwell,"1,027,014,102","1,127,861,646","20,019,354","10,331,520","2,089,752","4,432,884","10,209,534","3,473,478","580,350","426,774"
Sinéad O'Connor,"2,275,039,092","229,935,114","141,886,710","184,298,016","154,206,282","69,092,160","112,711,278","91,716,174","36,914,748","31,164,582"
Sir Mix-A-Lot,"1,524,130,122","271,132,368","121,678,890","130,849,344","92,278,170","46,140,408","25,032,426","11,117,016","6,260,280","9,114,336"
Soft Cell,"5,014,717,740","168,151,806","112,235,490","142,251,390","108,106,776","46,545,444","51,040,554","13,844,700","24,537,636","10,658,478"
Spandau Ballet,"2,730,638,808","1,093,120,170","265,786,416","196,627,878","95,645,034","180,976,074","73,663,248","35,706,234","37,824,000","23,297,736"
St. Paul & The Broken Bones,"429,640,656","205,206,498","255,612,750","70,910,100","108,151,260","77,935,902","117,606,102","72,025,878","38,079,966","13,865,298"
Starland Vocal Band,"420,835,308","1,539,216","855,144","760,476","864,354","463,662","629,958","479,370","365,112","321,216"
Suzi Quatro,"1,051,794,354","246,671,496","99,126,306","80,936,124","69,235,656","56,846,778","49,461,354","13,515,882","9,747,204","6,089,916"
Taboh Sape,"21,155","6,231","4,739","4,507","2,175","1,122",,,,
Terry Jacks,"589,027,542","3,458,064","4,224,174","3,022,686","1,625,790","1,216,776","398,754","421,242","746,622","407,532"
The Cardigans,"3,792,242,340","816,840,684","1,154,059,620","623,824,554","175,195,584","59,148,918","129,155,250","44,957,700","31,419,714","77,913,612"
The Heights,"97,076,616","538,362","291,426","355,602","209,406","180,948","163,158","148,590","133,674","130,806"
The Proclaimers,"4,669,553,220","408,013,524","143,723,370","62,552,616","55,753,872","51,694,290","38,736,684","30,446,472","22,819,380","13,555,062"
The Sugarhill Gang,"705,039,558","338,570,682","249,951,426","180,708,972","38,767,122","46,642,584","15,865,194","15,982,308","11,735,790","8,718,462"
The Vapors,"253,156,170","2,152,104","1,536,354","1,637,484","1,054,146","1,023,006","1,607,646","1,559,436","883,104","2,972,712"
The Verve,"6,441,985,074","1,027,455,360","550,045,158","780,136,986","190,051,818","77,307,150","34,582,836","55,908,276","36,323,538","78,830,628"
The Waitresses,"38,714,886","203,484,426","119,382,558","57,275,352","1,295,202","4,388,064","1,500,450","1,244,508","541,428","599,988"
The Weather Girls,"1,897,333,794","354,262,548","28,604,472","13,407,306","15,592,608","124,542","2,521,938","2,026,860","2,614,974","2,916,750"
Thelma Houston,"445,797,528","19,628,952","18,984,342","23,432,994","11,148,186","15,954,330","6,654,510","2,437,872","2,924,316","1,942,110"
Thomas Dolby,"159,287,010","110,959,374","27,606,936","40,560,282","13,705,302","11,788,536","8,926,980","9,012,852","4,927,818","4,075,626"
Timbuk 3,"48,260,088","1,608,468","1,740,090","583,560","627,996","583,584","444,972","507,918","339,108","437,052"
Tom Tom Club,"366,328,548","45,834,618","18,381,066","11,471,862","9,757,848","11,603,256","6,618,780","10,941,594","18,449,778","14,677,722"
Tommy Tutone,"589,929,114","61,443,204","1,330,740","1,299,858","521,718","308,448","537,402","289,260","459,024","1,852,638"
Toni Basil,"92,186,082","3,392,676","635,940","726,990","104,034","177,450","60,726",,,
Twisted Sister,"2,512,221,834","1,557,298,464","197,359,734","225,332,562","103,467,318","32,052,192","31,354,938","24,078,048","13,130,238","27,937,722"
Van McCoy,"165,574,746","15,301,710","10,855,734","6,280,386","2,525,358","1,400,034","978,852","703,446","550,878","462,156"
Vanilla Ice,"1,914,824,970","582,253,050","59,601,612","112,523,280","26,547,084","16,892,178","6,158,880","6,319,248","5,650,188","5,943,222"
Vicki Lawrence,"23,769,852","1,786,224","853,830","685,440","543,378","217,614","158,628","203,844","129,114","79,044"
Vicki Sue Robinson,"56,254,632","22,388,718","49,932,168","16,180,458","1,209,228","673,278","397,140","125,760","221,952","444,528"
Wild Cherry,"1,673,867,652","204,383,178","10,461,582","6,431,976","2,788,098","5,064,522","4,725,546","3,200,640","2,784,756","2,763,588"
Young MC,"816,559,386","135,037,200","40,141,164","13,419,666","6,316,260","4,537,692","2,670,318","3,712,296","4,748,778","4,033,722"
Grand Total,"124,936,211,712","25,604,006,354","10,987,567,902","8,047,603,202","5,111,707,369","3,287,671,120","2,600,519,915","3,013,721,032","1,679,729,397","2,083,295,957"